observation_date,FPCPITOTLZGNGA
1960-01-01,5.444327361872400
1961-01-01,6.279147234775140
1962-01-01,5.265632346217330
1963-01-01,-2.694655352327310
1964-01-01,0.856793145737554
1965-01-01,4.103458738116180
1966-01-01,9.690346083751191
1967-01-01,-3.726336765142150
1968-01-01,-0.476059059060833
1969-01-01,10.155979202822000
1970-01-01,13.757079924793000
1971-01-01,15.999114848223501
1972-01-01,3.457649752015000
1973-01-01,5.402664453942200
1974-01-01,12.674393177433000
1975-01-01,33.964188322177698
1976-01-01,24.299999999999599
1977-01-01,15.087834057268701
1978-01-01,21.709245741666500
1979-01-01,11.709730621211699
1980-01-01,9.972261990014269
1981-01-01,20.812822912194900
1982-01-01,7.697747247142510
1983-01-01,23.212331551155899
1984-01-01,17.820533286084199
1985-01-01,7.435344827586300
1986-01-01,5.717151454363050
1987-01-01,11.290322580645199
1988-01-01,54.511224779767105
1989-01-01,50.466688123591602
1990-01-01,7.364400305576920
1991-01-01,13.006973103742700
1992-01-01,44.588842715022999
1993-01-01,57.165252834921695
1994-01-01,57.031708911966000
1995-01-01,72.835502297263702
1996-01-01,29.268292682927100
1997-01-01,8.529874213836390
1998-01-01,9.996378123868009
1999-01-01,6.618373394797560
2000-01-01,6.933292155651610
2001-01-01,18.873646209386202
2002-01-01,12.876579203109900
2003-01-01,14.031783613143700
2004-01-01,14.998033818325100
2005-01-01,17.863493366160501
2006-01-01,8.225221520170480
2007-01-01,5.388007968586300
2008-01-01,11.581075174825200
2009-01-01,12.537827730468900
2010-01-01,13.740052136369400
2011-01-01,10.826137188001701
2012-01-01,12.224241302058299
2013-01-01,8.495518382656780
2014-01-01,8.047410879679070
2015-01-01,9.009434980076991
2016-01-01,15.696812638797200
2017-01-01,16.502266213964099
2018-01-01,12.095106517343201
2019-01-01,11.396422337811501
2020-01-01,13.246023427659701
2021-01-01,16.952845722160799
2022-01-01,18.847187784327399
2023-01-01,24.659550203113898
2024-01-01,33.242096654540497
